mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel__maxlen,param_kernel__ssk_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
161.4024153470993,3.6410242227983582,38.39126584529877,1.683481641831793,3,0.01,"{'kernel__maxlen': 3, 'kernel__ssk_lambda': 0.01}",0.8105553651663777,0.7852054794520548,0.7510766561474151,0.6603867962843771,0.7617602351758027,0.8604169185897815,0.7741341251304831,0.8891559427897282,0.8304732988464223,0.7403708152692412,0.7863535632851685,0.06210310164943591,21
167.8433247089386,3.1394240983999717,37.13357145786286,1.5033748274500447,3,0.25,"{'kernel__maxlen': 3, 'kernel__ssk_lambda': 0.25}",0.8105553651663777,0.7852054794520548,0.7510766561474151,0.6603867962843771,0.7617602351758027,0.8604169185897815,0.8013519153061857,0.8891559427897282,0.8304732988464223,0.7403708152692412,0.7890753423027386,0.062104353655059494,16
155.3878898859024,6.9498130936774,35.11795384883881,1.8367077963635465,3,0.5,"{'kernel__maxlen': 3, 'kernel__ssk_lambda': 0.5}",0.8353441907249964,0.7852054794520548,0.7805914486644167,0.7253582631271511,0.7917946585722628,0.8604169185897815,0.8310045481160808,0.8891559427897282,0.8037900712978197,0.8005686099726079,0.81032301313069,0.04358073907107048,15
151.4730663061142,2.3427885735486074,34.606418919563296,1.3463472883531749,3,0.75,"{'kernel__maxlen': 3, 'kernel__ssk_lambda': 0.75}",0.9187187715331981,0.8147804788173003,0.838904109589041,0.7253582631271511,0.8216588633193419,0.8642844065935045,0.8878749711016786,0.8891559427897282,0.8304732988464223,0.8587582958232979,0.8449967401540665,0.050797642556184616,8
153.57013335227967,3.7310238754334826,34.37243301868439,1.473409767516279,3,1.0,"{'kernel__maxlen': 3, 'kernel__ssk_lambda': 1.0}",0.8910578197389478,0.8441889033663761,0.8642844065935045,0.755415676714117,0.8147804788173003,0.917010954628728,0.9164068641553849,0.8878749711016786,0.8037900712978197,0.8599627203726672,0.8554772866786523,0.04937572911740964,3
210.88135669231414,4.357500893187745,48.768043875694275,2.2607201240939747,4,0.01,"{'kernel__maxlen': 4, 'kernel__ssk_lambda': 0.01}",0.8105553651663777,0.7852054794520548,0.7510766561474151,0.6603867962843771,0.7617602351758027,0.8604169185897815,0.7741341251304831,0.8891559427897282,0.8304732988464223,0.7403708152692412,0.7863535632851685,0.06210310164943591,21
206.6850727558136,2.9788311541970853,47.5773022890091,2.2447727248645895,4,0.25,"{'kernel__maxlen': 4, 'kernel__ssk_lambda': 0.25}",0.8105553651663777,0.7852054794520548,0.7510766561474151,0.6603867962843771,0.7617602351758027,0.8604169185897815,0.8013519153061857,0.8891559427897282,0.8304732988464223,0.7403708152692412,0.7890753423027386,0.062104353655059494,16
201.03538920879365,5.056551432247591,46.33903160095215,2.2151435959353742,4,0.5,"{'kernel__maxlen': 4, 'kernel__ssk_lambda': 0.5}",0.8353441907249964,0.7852054794520548,0.8098500416538107,0.7253582631271511,0.7917946585722628,0.8604169185897815,0.8310045481160808,0.8891559427897282,0.8037900712978197,0.8005686099726079,0.8132488724296294,0.04245404507210258,11
196.1797394990921,2.1013865160583434,44.974980092048646,1.6101334630927873,4,0.75,"{'kernel__maxlen': 4, 'kernel__ssk_lambda': 0.75}",0.9187187715331981,0.8147804788173003,0.8642844065935045,0.7253582631271511,0.8216588633193419,0.8344594594594594,0.8878749711016786,0.917010954628728,0.8304732988464223,0.8875242266000363,0.850214369402682,0.05519139523340015,6
192.31010100841522,1.7271729415403316,44.213172388076785,1.5168749047711565,4,1.0,"{'kernel__maxlen': 4, 'kernel__ssk_lambda': 1.0}",0.9187187715331981,0.8734751880331743,0.8926027397260274,0.755415676714117,0.8147804788173003,0.9447453940872762,0.8896396396396397,0.8896396396396397,0.8037900712978197,0.8599627203726672,0.8642770319860859,0.054397173618688184,1
244.77484347820283,3.053696672981625,56.98675141334534,2.242880504857536,5,0.01,"{'kernel__maxlen': 5, 'kernel__ssk_lambda': 0.01}",0.8105553651663777,0.7852054794520548,0.7510766561474151,0.6603867962843771,0.7617602351758027,0.8604169185897815,0.7741341251304831,0.8891559427897282,0.8304732988464223,0.7403708152692412,0.7863535632851685,0.06210310164943591,21
243.79028530120848,2.4943725663787304,56.83644506931305,2.336302421210627,5,0.25,"{'kernel__maxlen': 5, 'kernel__ssk_lambda': 0.25}",0.8105553651663777,0.7852054794520548,0.7510766561474151,0.6603867962843771,0.7617602351758027,0.8604169185897815,0.8013519153061857,0.8891559427897282,0.8304732988464223,0.7403708152692412,0.7890753423027386,0.062104353655059494,16
243.77105886936187,2.6805048832153853,56.890266156196596,2.1577675038187976,5,0.5,"{'kernel__maxlen': 5, 'kernel__ssk_lambda': 0.5}",0.8353441907249964,0.7852054794520548,0.8098500416538107,0.7253582631271511,0.7917946585722628,0.8604169185897815,0.8310045481160808,0.8891559427897282,0.8037900712978197,0.8005686099726079,0.8132488724296294,0.04245404507210258,11
244.13732492923737,2.0748102033853915,56.470848774909975,1.7921870404724836,5,0.75,"{'kernel__maxlen': 5, 'kernel__ssk_lambda': 0.75}",0.9462910052762135,0.8147804788173003,0.8642844065935045,0.6949748937217698,0.8216588633193419,0.8604169185897815,0.8878749711016786,0.917010954628728,0.8304732988464223,0.8875242266000363,0.8525290017494775,0.06581133265372706,5
